	orbits	visual_orbits	end_remove
Type	ARRAY[TABLE_ROW]	ARRAY[INT]	BOOL
Prefix/TRAJECTORY_	ORBIT_		
PIONEER_10	SEG_PIONEER_10_DEPARTURE;SEG_PIONEER_10_CRUISE_1;SEG_PIONEER_10_JUPITER;SEG_PIONEER_10_CRUISE_2		
VOYAGER_2	SEG_VOYAGER_2_DEPARTURE;SEG_VOYAGER_2_CRUISE_1;SEG_VOYAGER_2_JUPITER;SEG_VOYAGER_2_CRUISE_2;SEG_VOYAGER_2_SATURN;SEG_VOYAGER_2_CRUISE_3;SEG_VOYAGER_2_URANUS;SEG_VOYAGER_2_CRUISE_4;SEG_VOYAGER_2_NEPTUNE;SEG_VOYAGER_2_CRUISE_5		
VOYAGER_1	SEG_VOYAGER_1_DEPARTURE;SEG_VOYAGER_1_CRUISE_1;SEG_VOYAGER_1_JUPITER;SEG_VOYAGER_1_CRUISE_2;SEG_VOYAGER_1_SATURN;SEG_VOYAGER_1_CRUISE_3		
NEW_HORIZONS	SEG_NEW_HORIZONS_DEPARTURE;SEG_NEW_HORIZONS_CRUISE_1;SEG_NEW_HORIZONS_JUPITER;SEG_NEW_HORIZONS_CRUISE_2;SEG_NEW_HORIZONS_PLUTO;SEG_NEW_HORIZONS_CRUISE_3		
JUNO	SEG_JUNO_DEPARTURE;SEG_JUNO_CRUISE_1A;SEG_JUNO_CRUISE_1B;SEG_JUNO_EARTH;SEG_JUNO_CRUISE_2;SEG_JUNO_JUPITER_APPROACH;SEG_JUNO_JUPITER_CAPTURE;SEG_JUNO_JUPITER_43D;SEG_JUNO_JUPITER_38D;SEG_JUNO_JUPITER_33D	6;7;8;9	
