	parent	epoch_jd	reference_plane_type	orbit_right_ascension	orbit_declination	eccentricity	inclination	longitude_ascending_node	argument_periapsis	semi_major_axis	semi_parameter	mean_anomaly_at_epoch	time_periapsis	mean_motion	orbit_gravitational_parameter	longitude_ascending_node_rate	argument_periapsis_rate	#nodal_period	#apsidal_period	real_planet_orbit	semi_major_axis_rate	eccentricity_rate	inclination_rate	mean_anomaly_correction_b	mean_anomaly_correction_c	mean_anomaly_correction_s	mean_anomaly_correction_f	validity_begin	validity_end	segment_begin	segment_end	fix_gaps
Type	STRING_NAME	FLOAT	IVOrbit.ReferencePlane	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL
Default		2451545.0	ECLIPTIC													0	0			FALSE				0	0	0	0			-INF	INF	FALSE
Unit				deg	deg		deg	deg	deg	km	km	deg		deg/d	km^3/s^2	deg/Cy	deg/Cy	a	a		au/Cy	1/Cy	deg/Cy	deg/Cy^2	deg	deg	deg/Cy			s	s	
Prefix/ORBIT_			REFERENCE_PLANE_																													
MOON_SYCORAX	PLANET_URANUS	2451911.0	ECLIPTIC			0.5219	159.42	263.034	20.103	12179400		266.583		0.2794217		19.3206639868	25.8355281571	1863.29	1393.43													
MOON_MARGARET	PLANET_URANUS	2454102.0	ECLIPTIC			0.6772	57.367	7.067	90.017	14146700		322.187		0.2167366		-36.4712080075	0.00298563431694	987.08	12057739.22													
MOON_PROSPERO	PLANET_URANUS	2452276.0	ECLIPTIC			0.4445	151.83	319.003	174.152	16276800		233.586		0.1819679		26.2698939718	31.1561529075	1370.39	1155.47													
MOON_SETEBOS	PLANET_URANUS	2452641.0	ECLIPTIC			0.5908	158.235	250.235	359.953	17420400		179.449		0.1617921		34.4761539935	43.6940928014	1044.2	823.91													
MOON_FERDINAND	PLANET_URANUS	2454467.0	ECLIPTIC			0.3993	169.793	217.35	156.298	20430000		26.163		0.1290311		35.9389038634	48.1734243276	1001.7	747.3													
MOON_NAIAD	PLANET_NEPTUNE		LAPLACE	299.431	42.94	0.0003	4.691	42.279	2.045	48227		30.035		1222.843585		-62608.6956522	0	0.575	0.289													
MOON_THALASSA	PLANET_NEPTUNE	2451911.0	LAPLACE	299.431	42.939	0.0002	0.135	145.98	237.065	50074		262.923		1155.755975		-55045.8715596	0	0.654	0.327													
MOON_DESPINA	PLANET_NEPTUNE	2452276.0	LAPLACE	299.431	42.937	0.0002	0.068	77.06	176.857	52526		230.812		1075.733067		-46511.627907	0	0.774	0.387													
MOON_GALATEA	PLANET_NEPTUNE	2452641.0	LAPLACE	299.43	42.925	0.0001	0.034	37.247	343.011	61953		65.999		839.661303		0	0	1.38	0.69													
MOON_LARISSA	PLANET_NEPTUNE	2453006.0	LAPLACE	299.429	42.897	0.0014	0.205	308.127	249.891	73548		166.246		649.054077		-14308.4260731	28639.6181384	2.516	1.257													
