	parent	epoch_jd	reference_plane_type	orbit_right_ascension	orbit_declination	eccentricity	inclination	longitude_ascending_node	argument_periapsis	semi_major_axis	semi_parameter	mean_anomaly_at_epoch	time_periapsis	mean_motion	orbit_gravitational_parameter	longitude_ascending_node_rate	argument_periapsis_rate	#nodal_period	#apsidal_period	real_planet_orbit	semi_major_axis_rate	eccentricity_rate	inclination_rate	mean_anomaly_correction_b	mean_anomaly_correction_c	mean_anomaly_correction_s	mean_anomaly_correction_f	validity_begin	validity_end	segment_begin	segment_end	fix_gaps
Type	STRING_NAME	FLOAT	IVOrbit.ReferencePlane	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL
Default		2451545.0	ECLIPTIC													0	0			FALSE				0	0	0	0			-INF	INF	FALSE
Unit				deg	deg		deg	deg	deg	km	km	deg		deg/d	km^3/s^2	deg/Cy	deg/Cy	a	a		au/Cy	1/Cy	deg/Cy	deg/Cy^2	deg	deg	deg/Cy			s	s	
Prefix/ORBIT_			REFERENCE_PLANE_																													
PLANET_NEPTUNE	STAR_SUN					0.00895439	1.7700552	131.7863585	-85.10477126	4498337289.95		257.5413057		0.005981249914		-0.00606302	0.0161624			x	0.00006447	0.00000818	0.000224	-0.00041348	0.68346318	-0.10162547	7.67025	3000_BC	3000_AD			
PLANET_PLUTO	STAR_SUN					0.24885238	17.1410426	110.3016799	113.7953461	5907150228.99		14.8683241		0.003974823518		-0.00809981	-0.00158846			x	0.00449751	0.00006016	0.00000501	-0.01262724	0	0	0	3000_BC	3000_AD			
MOON_MOON	PLANET_EARTH		ECLIPTIC			0.0554	5.16	125.08	318.15	384400		135.27		13.176358		-1934.13205824	6003.00150075	18.613	5.997													
MOON_PHOBOS	PLANET_MARS	2433282.5	LAPLACE	317.671	52.893	0.0151	1.075	207.784	150.057	9376		91.059		1128.844757		-15917.2304019	31813.3616119	2.2617	1.1316													
MOON_DEIMOS	PLANET_MARS	2433282.5	LAPLACE	316.657	53.529	0.0002	1.788	24.525	260.729	23458		325.329		285.161879		-660.105947004	0	54.5367	27.3703													
MOON_METIS	PLANET_JUPITER	2450464.5	LAPLACE	268.057	64.496	0.0012	0.019	146.912	297.177	128000		276.047		1221.254598		0	631578.947368	0.115	0.057													
MOON_ADRASTEA	PLANET_JUPITER	2450464.5	LAPLACE	268.057	64.496	0.0018	0.054	228.378	328.047	129000		135.673		1206.998806		0	620689.655172	0.116	0.058													
MOON_AMALTHEA	PLANET_JUPITER	2450464.5	LAPLACE	268.057	64.495	0.0032	0.38	108.946	155.873	181400		185.194		722.6317143		-91603.0534351	183673.469388	0.393	0.196													
MOON_THEBE	PLANET_JUPITER	2450464.5	LAPLACE	268.057	64.495	0.0176	1.08	235.694	234.269	221900		135.956		533.7002568		-45169.3851945	90452.2613065	0.797	0.398													
MOON_IO	PLANET_JUPITER	2450464.5	LAPLACE	268.057	64.495	0.0041	0.036	43.977	84.129	421800		342.021		203.4889583		0	22153.8461538	7.42	1.625													
MOON_EUROPA	PLANET_JUPITER	2450464.5	LAPLACE	268.084	64.506	0.0094	0.466	219.106	88.97	671100		171.016		101.3747242		-1192.68486615	25824.964132	30.184	1.394													
MOON_GANYMEDE	PLANET_JUPITER	2450464.5	LAPLACE	268.168	64.543	0.0013	0.177	63.552	192.417	1070400		317.54		50.3176072		-271.38269483	566.491998301	132.654	63.549													
MOON_CALLISTO	PLANET_JUPITER	2450464.5	LAPLACE	268.639	64.749	0.0074	0.192	298.848	52.643	1882700		181.408		21.5710728		-106.251106782	174.969623329	338.82	205.75													
MOON_THEMISTO	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2435	42.977	192.288	217.147	7504000		313.051		2.7688033		-68.131493783	52.4467883626	528.39	686.41													
MOON_LEDA	PLANET_JUPITER	2451544.5	ECLIPTIC			0.1624	27.882	219.181	269.393	11164000		230.352		1.4942407		-119.228985891	248.635955522	301.94	144.79													
MOON_HIMALIA	PLANET_JUPITER	2451544.5	ECLIPTIC			0.1586	28.612	64.798	331.234	11460000		66.874		1.4367562		-123.047475818	258.286698235	292.57	139.38													
MOON_LYSITHEA	PLANET_JUPITER	2451544.5	ECLIPTIC			0.1161	27.663	5.326	49.67	11717000		330.475		1.3888891		-123.270784824	274.411159387	292.04	131.19													
MOON_ELARA	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2108	27.945	115.511	142.001	11740000		330.985		1.3865315		-135.695439126	281.096275474	265.3	128.07													
MOON_DIA	PLANET_JUPITER	2451544.5	ECLIPTIC			0.232	28.631	294.497	173.544	12297000		309.734		1.2939791		-148.803372876	306.174519476	241.93	117.58													
MOON_CARPO	PLANET_JUPITER	2451544.5	ECLIPTIC			0.4317	51.624	50.597	90.372	17056000		337.062		0.7889862		-319.092359511	0.0505937563791	112.82	711550.25													
MOON_S_2003_J_12	PLANET_JUPITER	2451544.5	ECLIPTIC			0.4904	151.003	65.53	13.288	17830000		38.543		0.735186		329.00749406	367.609517002	109.42	97.93													
MOON_EUPORIE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.1438	145.74	60.143	89.904	19336000		70.243		0.6537221		258.157045536	0.106804680466	139.45	337063.88													
MOON_EUPHEME	PLANET_JUPITER	2451544.5	ECLIPTIC			0.1969	147.547	231.489	66.338	20221000		311.78		0.6165779		293.302916735	197.845680369	122.74	181.96													
MOON_S_2003_J_18	PLANET_JUPITER	2451544.5	ECLIPTIC			0.0895	146.077	158.247	130.894	20508000		202.16		0.6018719		272.975432211	71.0255297321	131.88	506.86													
MOON_S_2010_J_2	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2267	148.673	5.802	18.252	21004000		312.074		0.5817371		320.427236315	244.798041616	112.35	147.06													
MOON_MNEME	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2258	148.585	13.467	40.542	21033000		256.86		0.5806001		320.684126136	243.144671079	112.26	148.06													
MOON_EUANTHE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.232	148.915	254.297	320.635	21039000		333.101		0.5802269		322.263002417	249.100470523	111.71	144.52													
MOON_HELIKE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.1498	154.842	89.749	299.482	21065000		43.659		0.5747808		314.355571079	282.574568289	114.52	127.4													
MOON_S_2003_J_16	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2281	148.683	16.883	57.681	21097000		307.563		0.5779589		322.465066284	245.398773006	111.64	146.7													
MOON_HARPALYKE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2296	148.759	29.834	134.505	21106000		215.956		0.5775515		322.465066284	244.615071006	111.64	147.17													
MOON_PRAXIDIKE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2274	148.885	280.956	190.862	21148000		117.48		0.5756381		323.857502699	248.670304621	111.16	144.77													
MOON_ORTHOSIE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2807	146.004	221.949	216.805	21158000		204.517		0.5782402		334.790291082	252.897787144	107.53	142.35													
MOON_THELXINOE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2201	151.39	169.962	313.183	21160000		268.013		0.5732248		326.027893498	275.693061725	110.42	130.58													
MOON_THYONE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2307	148.595	233.022	97.023	21197000		238.786		0.5739872		324.528982241	243.935492614	110.93	147.58													
MOON_ANANKE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2332	148.693	15.959	95.772	21254000		253.384		0.5716125		326.916091537	248.412917472	110.12	144.92													
MOON_IOCASTE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2152	149.411	269.613	64.727	21272000		213.675		0.5699784		323.799244468	246.947455069	111.18	145.78													
MOON_HERMIPPE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2095	150.74	330.393	300.836	21297000		131.854		0.567904		325.379609544	262.927256792	110.64	136.92													
MOON_PHILOPHROSYNE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.1899	146.492	236.674	18.405	22627000		58.865		0.5219082		341.65322198	191.662673694	105.37	187.83													
MOON_S_2003_J_10	PLANET_JUPITER	2451544.5	ECLIPTIC			0.4299	165.073	151.911	170.833	23042000		258.937		0.5026172		448.095593727	528.945048487	80.34	68.06													
MOON_PASITHEE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2682	165.117	327.729	231.92	23091000		215.443		0.5003695		403.361344538	445.434298441	89.25	80.82													
MOON_S_2011_J_2	PLANET_JUPITER	2451544.5	ECLIPTIC			0.3493	153.597	24.866	270.154	23124000		285.597		0.5011321		413.793103448	410.11619959	87	87.78													
MOON_EURYDOME	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2755	150.271	302.47	223.631	23146000		287.689		0.5018735		385.852090032	322.638465675	93.3	111.58													
MOON_CHALDENE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2503	165.155	134.24	243.878	23181000		267.454		0.4974208		402.144772118	440.852314475	89.52	81.66													
MOON_ISONOE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2471	165.25	130.961	116.879	23231000		124.941		0.4956884		402.144772118	440.097799511	89.52	81.8													
MOON_KALLICHORE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2509	165.102	30.339	9.836	23276000		55.937		0.4943462		403.768506057	441.392839627	89.16	81.56													
MOON_ERINOME	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2655	164.914	317.497	10.274	23286000		267.136		0.4941719		407.56254953	447.149422432	88.33	80.51													
MOON_KALE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2597	164.944	60.17	44.233	23306000		212.853		0.4934152		406.45816868	444.938820912	88.57	80.91													
MOON_AITNE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2627	165.048	8.679	99.401	23317000		105		0.4930702		408.209547568	447.984071677	88.19	80.36													
MOON_EUKELADE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2619	165.265	193.558	309.685	23323000		204.846		0.492926		408.34845735	448.654037886	88.16	80.24													
MOON_ARCHE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2495	165.015	339.21	171.632	23352000		39.713		0.4918707		405.725233856	442.26044226	88.73	81.4													
MOON_TAYGETE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2523	165.253	305.114	231.54	23363000		94.756		0.4915209		406.366407044	444.225074038	88.59	81.04													
MOON_S_2003_J_9	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2632	165.047	44.321	292.662	23385000		348.415		0.4909185		409.416581372	448.48635854	87.93	80.27													
MOON_CARME	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2546	164.994	114.854	26.416	23401000		233.375		0.4903501		407.608695652	444.554210916	88.32	80.98													
MOON_HERSE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2541	164.964	295.702	330.295	23408000		141.667		0.4901154		407.839583097	444.554210916	88.27	80.98													
MOON_S_2011_J_1	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2534	165.318	250.728	31.514	23446000		256.027		0.4888998		409.509725856	447.482908639	87.91	80.45													
MOON_S_2010_J_1	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2491	165.1	282.871	189.23	23449000		160.525		0.4887995		407.56254953	443.458980044	88.33	81.18													
MOON_EIRENE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2476	165.248	176.683	90.066	23495000		336.636		0.4873118		408.626560726	444.718962322	88.1	80.95													
MOON_S_2003_J_19	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2552	165.116	27.442	176.668	23533000		223.035		0.4862156		411.946446962	449.045777722	87.39	80.17													
MOON_KALYKE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2466	165.121	43.864	218.934	23565000		255.702		0.485149		410.630774495	445.765230312	87.67	80.76													
MOON_S_2003_J_23	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2746	146.424	41.706	255.114	23567000		144.222		0.4914942		387.513455328	276.710222905	92.9	130.1													
MOON_HEGEMONE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.3445	154.164	318.902	197.144	23575000		236.95		0.4866038		424.178154825	420.266168573	84.87	85.66													
MOON_PASIPHAE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.4062	151.413	314.223	169.226	23629000		279.769		0.4841223		443.513613404	443.349753695	81.17	81.2													
MOON_SPONDE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.3112	150.997	116.363	61.885	23790000		174.044		0.481076		413.745546489	367.04730832	87.01	98.08													
MOON_CYLLENE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.4155	150.336	252.611	187.429	23800000		128.345		0.4787365		451.637184795	448.933782267	79.71	80.19													
MOON_MEGACLITE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.4156	152.781	280.575	288.882	23814000		135.272		0.4781658		454.373343431	468.140442133	79.23	76.9													
MOON_S_2003_J_4	PLANET_JUPITER	2451544.5	ECLIPTIC			0.3624	149.589	179.131	197.401	23929000		260.48		0.4766663		433.944069431	399.245868914	82.96	90.17													
MOON_SINOPE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2552	158.189	309.199	354.541	23942000		165.352		0.4743772		411.899313501	405.770964833	87.4	88.72													
MOON_AOEDE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.4325	158.272	173.392	59.739	23974000		197.676		0.4728089		468.566966029	520.456845453	76.83	69.17													
MOON_AUTONOE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.3152	152.364	272.817	54.793	24037000		142.035		0.4730563		423.529411765	389.905772772	85	92.33													
MOON_CALLIRRHOE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.2796	147.08	283.104	23.909	24099000		107.962		0.4744232		404.358081546	299.850074963	89.03	120.06													
MOON_KORE	PLANET_JUPITER	2451544.5	ECLIPTIC			0.3313	145.173	313.355	138.071	24482000		33.416		0.4634134		426.186811886	332.133960697	84.47	108.39													
MOON_S_2003_J_2	PLANET_JUPITER	2451544.5	ECLIPTIC			0.41	157.291	344.782	165.201	28347000		237.932		0.3671484		572.610147924	597.510373444	62.87	60.25													
MOON_PAN	PLANET_SATURN		LAPLACE	40.583	83.538	0	0	52.076	103.331	133585		351.187		626.0317341		0	0	0.309	0.154													
MOON_DAPHNIS	PLANET_SATURN		LAPLACE	40.583	83.538	0	0.003	132.867	266.931	136504		113.79		605.9791512		0	0	0.334	0.166													
MOON_ATLAS	PLANET_SATURN		LAPLACE	40.585	83.538	0.0011	0.003	236.422	210.851	137774		283.282		598.3147505		0	210526.315789	0.344	0.171													
MOON_PROMETHEUS	PLANET_SATURN		LAPLACE	40.585	83.538	0.0022	0.007	319.176	37.514	139429		96.886		587.2860142		0	201117.318436	0.359	0.179													
MOON_PANDORA	PLANET_SATURN		LAPLACE	40.585	83.538	0.0042	0.05	147.272	66.248	141810		125.112		572.7878754		0	189473.684211	0.381	0.19													
MOON_JANUS	PLANET_SATURN		LAPLACE	40.585	83.538	0.0098	0.165	154.175	16.012	151450		17.342		518.3431513		-74688.7966805	150000	0.482	0.24													
MOON_EPIMETHEUS	PLANET_SATURN		LAPLACE	40.585	83.538	0.0161	0.353	192.762	88.975	151450		80.377		518.0979676		-74688.7966805	150000	0.482	0.24													
MOON_AEGAEON	PLANET_SATURN		LAPLACE	40.584	83.537	0.0002	0.001	317.202	152.905	167425		322.771		445.4934177		0	0	0.688	0.343													
MOON_MIMAS	PLANET_SATURN		LAPLACE	40.589	83.536	0.0196	1.574	173.027	332.499	185539		14.848		381.9944948		-36511.1561866	73022.3123732	0.986	0.493													
MOON_METHONE	PLANET_SATURN		LAPLACE	40.589	83.536	0	0.013	313.562	134.636	194402		71.189		356.5949252		0	0	1.158	0.25													
MOON_ANTHE	PLANET_SATURN		LAPLACE	40.583	83.537	0.0011	0.015	287.852	138.902	196888		190.473		347.3587167		0	58346.8395462	1.232	0.617													
MOON_PALLENE	PLANET_SATURN		LAPLACE	40.579	83.537	0.004	0.001	123.18	16.074	212282		356.229		312.0270737		0	41763.3410673	1.899	0.862													
MOON_ENCELADUS	PLANET_SATURN		LAPLACE	40.586	83.536	0	0.003	342.507	0.076	238042		199.686		262.7318978		0	0	2.36	1.184													
MOON_TETHYS	PLANET_SATURN		LAPLACE	40.578	83.537	0.0001	1.091	259.842	45.202	294672		243.367		190.6979109		-7226.01364914	0	4.982	2.49													
MOON_TELESTO	PLANET_SATURN		LAPLACE	40.578	83.537	0.0002	1.18	229.182	119.135	294720		260.157		190.6979089		-7226.01364914	0	4.982	2.489													
MOON_CALYPSO	PLANET_SATURN		LAPLACE	40.578	83.537	0.0005	1.5	314.226	17.47	294721		156.66		190.6979089		-7224.56351595	0	4.983	2.487													
MOON_POLYDEUCES	PLANET_SATURN		LAPLACE	40.543	83.54	0.0191	0.175	67.936	311.847	377222		89.307		131.5349306		-3078.23856349	6195.14713474	11.695	5.811													
MOON_DIONE	PLANET_SATURN		LAPLACE	40.544	83.54	0.0022	0.028	290.415	284.315	377415		322.232		131.5349307		0	6151.74299385	11.709	5.852													
MOON_HELENE	PLANET_SATURN		LAPLACE	40.544	83.54	0	0.213	163.112	33.134	377444		43.186		131.5349306		-3075.34597642	0	11.706	2.562													
MOON_RHEA	PLANET_SATURN		LAPLACE	40.328	83.559	0.0002	0.333	351.042	241.619	527068		179.781		79.6900459		-1004.68854655	0	35.832	17.939													
MOON_TITAN	PLANET_SATURN		LAPLACE	36.214	83.949	0.0288	0.306	28.06	180.532	1221865		163.31		22.5769756		-51.0928186205	102.237873452	704.6	352.12													
MOON_HYPERION	PLANET_SATURN		LAPLACE	36.372	83.862	0.0232	0.615	263.847	303.178	1500933		86.342		16.9199503		-232.768653821	281.271974373	154.66	127.99													
MOON_IAPETUS	PLANET_SATURN		LAPLACE	284.715	78.749	0.0293	8.298	81.105	271.606	3560854		201.789		4.5379416		-10.4689812809	21.4708741628	3438.73	1676.69													
MOON_KIVIUQ	PLANET_SATURN	2451544.5	ECLIPTIC			0.3325	46.764	353.584	90.205	11384000		172.018		0.8013951		-42.8133101824	1.80234846004	840.86	19973.94													
MOON_IJIRAQ	PLANET_SATURN	2451544.5	ECLIPTIC			0.2717	47.485	130.779	92.899	11408000		17.328		0.7974868		-38.4977329113	2.60730320112	935.12	13807.37													
MOON_PHOEBE	PLANET_SATURN	2451544.5	LAPLACE	275.954	67.455	0.1634	175.243	241.086	342.5	12947918		53.038		0.6569114		49.7808260852	78.1046602447	723.17	460.92													
MOON_PAALIAQ	PLANET_SATURN	2451544.5	ECLIPTIC			0.3325	46.228	330.022	237.522	15204000		321.654		0.5240567		-67.2005376043	62.4848127191	535.71	576.14													
MOON_SKATHI	PLANET_SATURN	2451544.5	ECLIPTIC			0.2718	152.633	286.599	203.517	15635000		114.689		0.4944382		65.8508478297	75.8917278017	546.69	474.36													
MOON_ALBIORIX	PLANET_SATURN	2451544.5	ECLIPTIC			0.4797	34.06	102.512	55.932	16393000		32.828		0.4595027		-100.519349975	144.069153194	358.14	249.88													
MOON_S_2007_S_2	PLANET_SATURN	2451544.5	ECLIPTIC			0.1791	174.057	111.277	57.72	16718000		84.066		0.4454603		72.5148554739	104.9715702	496.45	342.95													
MOON_BEBHIONN	PLANET_SATURN	2451544.5	ECLIPTIC			0.4682	35.101	199.128	358.141	17116000		168.045		0.4312114		-105.244693913	152.174831974	342.06	236.57													
MOON_ERRIAPUS	PLANET_SATURN	2451544.5	ECLIPTIC			0.4722	34.481	150.985	282.522	17602000		294.829		0.4132539		-111.286283966	163.710777626	323.49	219.9													
MOON_SKOLL	PLANET_SATURN	2451544.5	ECLIPTIC			0.4636	161.01	296.623	193.115	17668000		44.965		0.409912		97.5451146155	125.575554625	369.06	286.68													
MOON_TARQEQ	PLANET_SATURN	2451544.5	ECLIPTIC			0.1675	46.291	83.291	34.767	17962000		161.02		0.4067094		-60.6929107308	40.1543712495	593.15	896.54													
MOON_SIARNAQ	PLANET_SATURN	2451544.5	ECLIPTIC			0.2802	45.809	47.826	65.929	18182000		201.288		0.4020067		-79.2602377807	78.705728028	454.2	457.4													
MOON_TARVOS	PLANET_SATURN	2451544.5	ECLIPTIC			0.5382	33.725	102.504	274.104	18243000		265.783		0.3886226		-131.882624464	185.394994335	272.97	194.18													
MOON_S_2004_S_13	PLANET_SATURN	2451544.5	ECLIPTIC			0.2591	168.798	205.701	346.186	18406000		41.077		0.3856043		87.9357092259	119.201350949	409.39	302.01													
MOON_HYRROKKIN	PLANET_SATURN	2451544.5	ECLIPTIC			0.3359	151.536	45.402	273.076	18440000		291.841		0.3863203		88.5717800467	95.8058335108	406.45	375.76													
MOON_GREIP	PLANET_SATURN	2451544.5	ECLIPTIC			0.3146	174.8	349.35	152.16	18457000		314.541		0.3841491		93.2884166883	128.465903008	385.9	280.23													
MOON_MUNDILFARI	PLANET_SATURN	2451544.5	ECLIPTIC			0.2097	167.439	82.856	309.694	18653000		92.821		0.3778328		86.2668040545	115.299618871	417.31	312.23													
MOON_S_2006_S_1	PLANET_SATURN	2451544.5	ECLIPTIC			0.1412	156.18	336.641	154.95	18780000		96.596		0.3741294		79.3703287254	88.8581724836	453.57	405.14													
MOON_S_2007_S_3	PLANET_SATURN	2451544.5	ECLIPTIC			0.1853	177.595	276.824	111.854	18938000		292.691		0.3681825		0.223114584151	33.3447570001	161352.07	1079.63													
MOON_BERGELMIR	PLANET_SATURN	2451544.5	ECLIPTIC			0.142	158.557	202.164	133.4	19336000		306.494		0.3579396		84.7158489234	100.083402836	424.95	359.7													
MOON_NARVI	PLANET_SATURN	2451544.5	ECLIPTIC			0.4296	145.731	174.435	169.959	19349000		114.172		0.3585873		103.620977491	105.454332415	347.42	341.38													
MOON_JARNSAXA	PLANET_SATURN	2451544.5	ECLIPTIC			0.2178	163.649	22.519	237.422	19354000		198.75		0.3575194		90.6983775068	115.207373272	396.92	312.48													
MOON_S_2004_S_17	PLANET_SATURN	2451544.5	ECLIPTIC			0.1795	168.239	26.664	180.792	19448000		228.545		0.3548169		90.6481341592	119.605302502	397.14	300.99													
MOON_SUTTUNGR	PLANET_SATURN	2451544.5	ECLIPTIC			0.1139	175.815	227.259	34.281	19468000		321.133		0.3540952		89.5077076082	122.955018956	402.2	292.79													
MOON_HATI	PLANET_SATURN	2451544.5	ECLIPTIC			0.371	165.808	324.38	21.286	19868000		163.64		0.3460954		105.891696326	137.153306919	339.97	262.48													
MOON_S_2004_S_12	PLANET_SATURN	2451544.5	ECLIPTIC			0.3268	165.261	307.942	87.128	19886000		1.599		0.3441326		102.421121511	131.761950077	351.49	273.22													
MOON_BESTLA	PLANET_SATURN	2451544.5	ECLIPTIC			0.5145	145.136	288.308	81.185	20209000		239.156		0.3308757		120.369132005	126.320221762	299.08	284.99													
