	star	galaxy_orbiter	use_cardinal_directions	file_prefix	en.wiki	symbol	show_in_nav_panel	body_class	model_type	has_light	shader_sun_index	n_kn_planets	n_kn_dwf_planets	n_kn_minor_planets	n_kn_comets	n_kn_nat_satellites	cel_RA	cel_dec	cel_dist	dist_galactic_core	galactic_period	galactic_orbital_speed	velocity_vs_cmb	velocity_vs_near_stars	rotation_period	right_ascension	declination	mean_radius	gm	mass	mean_density	esc_vel	stellar_classification	absolute_magnitude	luminosity	color_b_v	metallicity	age	temp_center	temp_photosphere	temp_corona	photosphere_composition
Type	BOOL	BOOL	BOOL	STRING	STRING	STRING	BOOL	TABLE_ROW	TABLE_ROW	BOOL	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	STRING_NAME	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	STRING
Default	TRUE	TRUE	TRUE				TRUE																																			
Unit																	deg	deg	ly	km	yr	km/s	km/s	km/s	d	deg	deg	km	km^3/s^2	kg	g/cm^3	km/s			W			yr	K	K	K	
Prefix/STAR_								BODY_CLASS_	MODEL_																																	
SUN				Sun	Sun	\u2609		G_STAR	G_STAR	TRUE	0	8	5	796354	4143	575	0	0	0	2.7e17	2.3e8	220	370	20	25.05	286.13	63.87	695700	1.32712440042e11	1.9885e30	1.408	617.7	G2V	4.83	3.828e26	0.63	0.0122	4.6e9	1.57e7	5777	~5e6	73.46% Hydrogen, 24.85% Helium, 0.77% Oxygen, 0.29% Carbon, 0.16% Iron, 0.12% Neon, 0.09% Nitrogen, 0.07% Silicon, 0.05% Magnesium, 0.04% Sulphur
